	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N	
isogroup10919_g1	20	13	2	2	3	5	1	0	3	8	2	10	33	11	89	17	
isogroup10922_g1	1	3	0	0	0	0	0	0	0	1	0	0	2	0	19	1	
isogroup10929_g1	15	18	4	3	6	17	0	0	4	5	2	9	13	7	75	23	
isogroup10943_g1	2	0	3	1	0	2	1	0	0	2	0	1	3	0	12	0	
isogroup10953_g1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
isogroup10964_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	
isogroup10965_g1	5	4	1	1	1	0	1	0	0	1	0	7	2	1	26	3	
isogroup10975_g1	0	1	3	0	0	1	0	0	1	3	1	2	6	1	2	2	
isogroup109861_g1	1	3	0	0	0	0	0	0	0	0	1	0	0	1	4	1	
isogroup10986_g2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
isogroup109874_g1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup109897_g1	2	1	0	0	0	0	0	0	0	0	0	0	2	1	3	0	
isogroup10991_g1	0	3	1	0	1	2	3	0	0	3	0	2	5	0	4	2	
isogroup109920_g1	1	1	0	0	0	0	0	0	1	2	1	1	2	1	3	2	
isogroup109928_g1	0	0	4	1	0	1	0	0	2	1	0	0	0	0	0	1	
isogroup109932_g1	1	3	0	0	0	1	0	0	0	0	0	0	1	2	0	0	
isogroup109940_g1	1071	1164	150	162	154	295	7	1	25	45	28	109	750	499	761	107	
isogroup109944_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	
isogroup109972_g1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	
isogroup109974_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	
isogroup109976_g1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup109982_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup109983_g1	12	7	12	4	7	7	1	2	5	5	5	31	26	11	95	13	
isogroup109993_g1	4	5	2	1	0	2	0	0	3	3	1	8	11	4	39	5	
isogroup109995_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup109999_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup110003_g1	0	3	2	0	0	0	0	0	0	2	0	1	2	0	5	1	
isogroup110007_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup110024_g1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	
isogroup110036_g1	0	2	1	3	0	2	1	0	1	1	0	1	7	6	14	5	
isogroup110051_g1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroup110088_g1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup110090_g1	1	11	2	0	0	0	0	0	0	0	0	0	0	5	0	0	
isogroup110093_g1	6	5	0	1	3	0	2	0	0	3	0	7	8	1	23	3	
isogroup11009_g1	5	6	1	1	2	6	0	0	1	3	1	2	5	1	33	4	
isogroup110124_g1	6	8	3	5	1	1	0	0	0	1	1	6	7	8	6	0	
isogroup11012_g2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	
isogroup110142_g1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	
isogroup110177_g1	1	1	0	0	1	5	1	0	1	0	0	0	0	0	6	1	
isogroup110190_g1	1	4	6	6	3	5	0	0	7	1	0	4	31	10	3	0	
isogroup110195_g1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup11020_g1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	
isogroup11021_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	
isogroup110227_g1	2	0	0	0	0	1	0	0	0	0	0	3	1	1	6	2	
isogroup110234_g1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	
isogroup110239_g1	4	1	2	0	0	2	1	0	4	8	2	10	15	5	30	4	
isogroup110247_g1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
isogroup110262_g1	0	8	0	0	0	0	0	0	0	0	0	0	1	4	0	3	
isogroup110302_g1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
isogroup11030_g1	5	13	10	4	0	0	0	0	5	9	0	4	3	5	27	7	
isogroup110311_g1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	
isogroup110322_g1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	
isogroup110323_g1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup110379_g1	1	2	3	0	0	0	1	0	3	1	0	5	3	0	24	4	
isogroup110388_g1	0	1	0	1	0	0	0	0	0	0	0	0	3	5	2	0	
isogroup110425_g1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
isogroup110434_g1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	
isogroup110448_g1	1	3	0	0	0	1	0	0	0	2	0	1	4	1	1	0	
isogroup110462_g1	8	6	1	0	0	2	0	0	2	0	0	2	11	4	26	3	
isogroup110472_g1	0	0	0	0	2	1	0	0	1	4	0	3	0	0	9	5	
isogroup110489_g1	8	20	19	11	10	25	3	1	16	25	6	27	33	20	121	32	
isogroup110506_g1	3	1	0	0	0	0	0	0	0	4	0	2	3	1	4	1	
isogroup110537_g1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	
isogroup11054_g1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	4	2	
isogroup11055_g1	1	2	1	6	1	1	0	0	4	2	1	7	4	4	35	1	
isogroup11056_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
isogroup110583_g1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
isogroup11058_g1	7	5	1	2	0	3	0	0	0	2	0	2	10	10	16	11	
isogroup110591_g1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	7	1	
isogroup110599_g1	4	14	8	8	5	6	4	0	7	7	11	15	23	6	70	12	
isogroup110649_g1	2	0	0	0	0	6	1	0	1	0	0	0	4	1	4	0	
